,Item,Price,Precio_kilo,Internal code,Categoria 1,Categoria 2,urls
0,,"1,58","66,33 €",5705536,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/15705536-lomo-de-salmon-ahumado-eroski-seleqtia-bandeja-150-g/
1,,"6,35","10,25 €",41284,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/541284-divinas-del-mar-eroski-basic-bandeja-200-g/
2,,"10,50",NA,8337345,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/18337345-barritas-tiernas-de-trucha-salmon-para-gato-eroski-paquete-35-g/
3,,"2,05","6,63 €",0869014,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/10869014-alimento-de-salmon-arroz-gato-adulto-ultima-saco-15-kg/
4,,"3,40","9,75 €",5003179,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25003179-alimento-de-salmon-atun-gato-esterelizado-ultima-caja-1020-kg/
5,,"5,79",NA,4146961,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/24146961-treaties-minis-de-salmon-vitakraft-paquete-48-g/
6,,"3,40","34,50 €",4974370,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/24974370-palitos-de-bacalao-desalado-royal-bandeja-200-g/
7,,"1,99","46,60 €",4243362,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/24243362-tartar-de-salmon-ahumado-martiko-pack-2x75-g/
8,,"9,99","29,93 €",8613166,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/18613166-bacalao-desalado-menu-msc-eroski-bandeja-700-g/
9,,"3,40","37,30 €",3107519,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/23107519-lomos-de-salmon-en-aceite-de-oliva-costa-vasca-frasco-200-g/
10,,"6,35","9,97 €",1755780,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/21755780-alimento-de-salmon-gato-junior-purina-one-pack-4x85-g/
11,,"5,99","28,75 €",9545771,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/19545771-crystal-soup-de-salmon-atun-para-gato-gourmet-pack-4x40-g/
12,,"5,99",NA,4789778,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24789778-juego-sabanas-namira-salmon-3-piezas-50-algodon-50-poliester-eroski-talla-90/
13,,"4,95","15,18 €",4970758,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/24970758-bacalao-al-ajo-arriero-giraldo-bandeja-280-g/
14,,"3,40","36,85 €",3851629,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/23851629-lomos-extra-de-bacalao-desalado-alkorta-nature-pack-2x135-g/
15,,"3,99","7,90 €",7623471,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/17623471-guliciosas-eroski-basic-bandeja-200-g/
16,,"1,85","14,91 €",4113623,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/24113623-alimento-de-salmon-para-gato-gourmet-revelations-pack-4x57-g/
17,,"5,49","50,00 €",1571534,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21571534-california-de-salmon-sushitake-bandeja-144-g/
18,,"6,99","16,61 €",871963,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/9871963-barritas-de-surimi-krissia-bandeja-180-g/
19,,"2,99","43,75 €",8643023,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/18643023-lomos-de-bacalao-desalado-msc-eroski-seleqtia-bandeja-400-g/
20,,"5,49","21,60 €",4972150,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/24972150-salmon-al-natural-eroski-pack-3x50-g/
21,,"6,99","28,67 €",5477084,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/25477084-bacalao-desalado-desmigado-msc-giraldo-gourmet-bandeja-225-g/
22,,"2,09","6,50 €",5528837,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/25528837-alimento-grain-free-de-salmon-para-perro-perrynat-lata-400-g/
23,,"2,95","63,13 €",67948,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/267948-bacalao-ahumado-msc-martiko-sobre-80-g/
24,,"5,29","31,75 €",2306039,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/22306039-gulas-del-norte-frescas-la-gula-del-norte-pack-2x100-g/
25,,"2,39","34,66 €",1572904,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21572904-roll-de-salmon-queso-sushitake-bandeja-176-g/
26,,"3,99","17,82 €",4306193,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/24306193-bacalao-rebozado-findus-caja-280-g/
27,,"4,99","28,95 €",00956,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/200956-gulas-del-norte-congeladas-la-gula-del-norte-bandeja-200-g/
28,,"10,50","19,97 €",4601304,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/24601304-bacalao-con-pisto-y-pil-pil-giraldo-bandeja-300-g/
29,,"9,95","16,04 €",3630049,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/23630049-varitas-de-salmon-empanadas-pescanova-caja-240-g/
30,,"9,50","8,54 €",2886238,Congelados,Platos preparados,https://supermercado.eroski.es/es/productdetail/22886238-linguine-fruti-di-mare-salmon-la-sirena-bandeja-350-g/
31,,"12,57","9,98 €",9070002,Congelados,Platos preparados,https://supermercado.eroski.es/es/productdetail/19070002-croquetas-de-cazuela-de-bacalao-la-cocinera-bolsa-500-g/
32,,"4,75","7,93 €",1756044,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/21756044-alimento-de-salmon-perro-simply-nine-beyond-bolsa-14-kg/
33,,"8,75",NA,3854476,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/13854476-salmon-atun-gourmet-gold-lata-85-g/
34,,"5,58","2,78 €",384555,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/7384555-alimento-de-bacalao-trucha-verd-gato-adulto-friskies-saco-4-kg/
35,,"10,50","58,42 €",7461294,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/17461294-sashimi-de-salmon-sushitake-bandeja-190-g/
36,,"9,99","41,44 €",1571674,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21571674-dragon-de-salmon-aguacate-sushitake-bandeja-216-g/
37,,"41,85","6,81 €",7786633,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/17786633-alimento-de-salmon-gato-esterilizado-ultima-paquete-800-g/
38,,"9,54","23,23 €",9780345,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/19780345-gulas-del-norte-congeladas-la-gula-del-norte-bandeja-430-g/
39,,"9,95","9,76 €",363611,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/3363611-alimento-de-salmon-pollo-friskies-gourmet-gold-lata-85-g/
40,,"6,69","31,67 €",8362673,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/18362673-rodaja-de-salmon-eroski-natur-ggn-bandeja-300-g/
41,,"19,25","32,08 €",1119441,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/21119441-corte-de-salmon-eroski-natur-ggn-bandeja-600-g/
42,,"5,99","9,08 €",9641851,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/19641851-alimento-de-salmon-buey-pollo-para-gato-brekkies-pack-6x100-g/
